,action_set,policy_type,direct_solution,iterative_solution,discount_factor,mean_time_direct,mean_time_iterative,time_difference,mean_accuracy_direct,mean_accuracy_iterative,accuracy_difference
0,default,optimal,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],0.0,0.00034094810485839843,0.00028299331665039063,5.7954788208007795e-05,0.0,0.0,0.0
1,default,optimal,"[3.125e-07 6.250e-06 1.250e-04 6.250e-06 6.250e-06 0.000e+00 2.500e-03
 0.000e+00 1.250e-04 2.500e-03 5.000e-02 0.000e+00 0.000e+00 5.000e-02
 1.000e+00 0.000e+00]","[3.125e-07 6.250e-06 1.250e-04 6.250e-06 6.250e-06 0.000e+00 2.500e-03
 0.000e+00 1.250e-04 2.500e-03 5.000e-02 0.000e+00 0.000e+00 5.000e-02
 1.000e+00 0.000e+00]",0.05,0.00022217869758605957,0.0010045385360717774,0.0007823598384857178,39.75,40.0,0.25
2,default,optimal,"[1.e-05 1.e-04 1.e-03 1.e-04 1.e-04 0.e+00 1.e-02 0.e+00 1.e-03 1.e-02
 1.e-01 0.e+00 0.e+00 1.e-01 1.e+00 0.e+00]","[1.e-05 1.e-04 1.e-03 1.e-04 1.e-04 0.e+00 1.e-02 0.e+00 1.e-03 1.e-02
 1.e-01 0.e+00 0.e+00 1.e-01 1.e+00 0.e+00]",0.1,0.00034365296363830566,0.0009602510929107666,0.0006165981292724609,38.1875,38.4375,0.25
3,default,optimal,"[7.59375e-05 5.06250e-04 3.37500e-03 5.06250e-04 5.06250e-04 0.00000e+00
 2.25000e-02 0.00000e+00 3.37500e-03 2.25000e-02 1.50000e-01 0.00000e+00
 0.00000e+00 1.50000e-01 1.00000e+00 0.00000e+00]","[7.59375e-05 5.06250e-04 3.37500e-03 5.06250e-04 5.06250e-04 0.00000e+00
 2.25000e-02 0.00000e+00 3.37500e-03 2.25000e-02 1.50000e-01 0.00000e+00
 0.00000e+00 1.50000e-01 1.00000e+00 0.00000e+00]",0.15000000000000002,0.00022309184074401856,0.0010158324241638184,0.0007927405834197998,36.625,36.625,0.0
4,default,optimal,"[3.2e-04 1.6e-03 8.0e-03 1.6e-03 1.6e-03 0.0e+00 4.0e-02 0.0e+00 8.0e-03
 4.0e-02 2.0e-01 0.0e+00 0.0e+00 2.0e-01 1.0e+00 0.0e+00]","[3.2e-04 1.6e-03 8.0e-03 1.6e-03 1.6e-03 0.0e+00 4.0e-02 0.0e+00 8.0e-03
 4.0e-02 2.0e-01 0.0e+00 0.0e+00 2.0e-01 1.0e+00 0.0e+00]",0.2,0.00024486184120178225,0.0011338555812835693,0.000888993740081787,36.375,36.625,0.25
5,default,optimal,"[9.765625e-04 3.906250e-03 1.562500e-02 3.906250e-03 3.906250e-03
 0.000000e+00 6.250000e-02 0.000000e+00 1.562500e-02 6.250000e-02
 2.500000e-01 0.000000e+00 0.000000e+00 2.500000e-01 1.000000e+00
 0.000000e+00]","[9.765625e-04 3.906250e-03 1.562500e-02 3.906250e-03 3.906250e-03
 0.000000e+00 6.250000e-02 0.000000e+00 1.562500e-02 6.250000e-02
 2.500000e-01 0.000000e+00 0.000000e+00 2.500000e-01 1.000000e+00
 0.000000e+00]",0.25,0.0003538084030151367,0.0009586513042449951,0.0006048429012298584,3.625,3.625,0.0
6,default,optimal,"[0.00243 0.0081  0.027   0.0081  0.0081  0.      0.09    0.      0.027
 0.09    0.3     0.      0.      0.3     1.      0.     ]","[0.00243 0.0081  0.027   0.0081  0.0081  0.      0.09    0.      0.027
 0.09    0.3     0.      0.      0.3     1.      0.     ]",0.30000000000000004,0.0002786743640899658,0.0010198259353637695,0.0007411515712738037,34.8125,34.8125,0.0
7,default,optimal,"[0.00525219 0.01500625 0.042875   0.01500625 0.01500625 0.
 0.1225     0.         0.042875   0.1225     0.35       0.
 0.         0.35       1.         0.        ]","[0.00525219 0.01500625 0.042875   0.01500625 0.01500625 0.
 0.1225     0.         0.042875   0.1225     0.35       0.
 0.         0.35       1.         0.        ]",0.35000000000000003,0.00024419665336608884,0.0010611355304718018,0.0008169388771057131,35.0625,35.0625,0.0
8,default,optimal,"[0.01024 0.0256  0.064   0.0256  0.0256  0.      0.16    0.      0.064
 0.16    0.4     0.      0.      0.4     1.      0.     ]","[0.01024 0.0256  0.064   0.0256  0.0256  0.      0.16    0.      0.064
 0.16    0.4     0.      0.      0.4     1.      0.     ]",0.4,0.00032314538955688474,0.0009660029411315918,0.0006428575515747071,34.5625,34.8125,0.25
9,default,optimal,"[0.01845281 0.04100625 0.091125   0.04100625 0.04100625 0.
 0.2025     0.         0.091125   0.2025     0.45       0.
 0.         0.45       1.         0.        ]","[0.01845281 0.04100625 0.091125   0.04100625 0.04100625 0.
 0.2025     0.         0.091125   0.2025     0.45       0.
 0.         0.45       1.         0.        ]",0.45,0.00039415717124938963,0.0009808993339538573,0.0005867421627044676,34.0625,34.0625,0.0
10,default,optimal,"[0.03125 0.0625  0.125   0.0625  0.0625  0.      0.25    0.      0.125
 0.25    0.5     0.      0.      0.5     1.      0.     ]","[0.03125 0.0625  0.125   0.0625  0.0625  0.      0.25    0.      0.125
 0.25    0.5     0.      0.      0.5     1.      0.     ]",0.5,0.0003030991554260254,0.000969703197479248,0.0006666040420532227,1.8125,1.8125,0.0
11,default,optimal,"[0.05032844 0.09150625 0.166375   0.09150625 0.09150625 0.
 0.3025     0.         0.166375   0.3025     0.55       0.
 0.         0.55       1.         0.        ]","[0.05032844 0.09150625 0.166375   0.09150625 0.09150625 0.
 0.3025     0.         0.166375   0.3025     0.55       0.
 0.         0.55       1.         0.        ]",0.55,0.00036952733993530275,0.0009593701362609863,0.0005898427963256835,33.8125,33.75,0.0625
12,default,optimal,"[0.07776 0.1296  0.216   0.1296  0.1296  0.      0.36    0.      0.216
 0.36    0.6     0.      0.      0.6     1.      0.     ]","[0.07776 0.1296  0.216   0.1296  0.1296  0.      0.36    0.      0.216
 0.36    0.6     0.      0.      0.6     1.      0.     ]",0.6000000000000001,0.0003129100799560547,0.000994201898574829,0.0006812918186187743,33.0,33.0,0.0
